upstream;category;language;cve_id;fix_sha;filepath;churn;fork;fork_pushed;sha_match;status;sim_2a;label_2a;sim_patch;sim_vuln;delta;label_2b;method;ts
element-hq/synapse;server;python;CVE-2025-30355;2277df2a1eb685f85040ef98fa21d41aa4cdd389;synapse/federation/units.py;26;guillemo12/synapse;2026-08-30T13:36:10Z;False;CORRIGIDO;0.9724;CORRIGIDO;0.9724;0.7465;0.2259;CORRIGIDO;lev_only;2026-08-31T23:16:41.233408+00:00
element-hq/synapse;server;python;CVE-2025-30355;2277df2a1eb685f85040ef98fa21d41aa4cdd389;synapse/federation/units.py;26;Buzzlabs/synapse;2026-08-27T14:55:31Z;False;CORRIGIDO;0.9724;CORRIGIDO;0.9724;0.7465;0.2259;CORRIGIDO;lev_only;2026-08-31T23:16:41.813302+00:00
element-hq/synapse;server;python;CVE-2025-30355;2277df2a1eb685f85040ef98fa21d41aa4cdd389;synapse/federation/units.py;26;AliAbutorabi/Synapse;2026-08-27T08:56:57Z;False;CORRIGIDO;0.9724;CORRIGIDO;0.9724;0.7465;0.2259;CORRIGIDO;lev_only;2026-08-31T23:16:42.391326+00:00
element-hq/synapse;server;python;CVE-2024-31208;55b0aa847a61774b6a3acdc4b177a20dc019f01a;synapse/storage/databases/main/events.py;108;guillemo12/synapse;2026-08-30T13:36:10Z;False;ZONA_INCERTEZA;0.6036;ZONA_INCERTEZA;0.6036;0.5868;0.0169;ZONA_INCERTEZA;lev_only;2026-08-31T23:16:46.087558+00:00
element-hq/synapse;server;python;CVE-2024-31208;55b0aa847a61774b6a3acdc4b177a20dc019f01a;synapse/storage/databases/main/events.py;108;Buzzlabs/synapse;2026-08-27T14:55:31Z;False;ZONA_INCERTEZA;0.6364;ZONA_INCERTEZA;0.6364;0.6185;0.0178;ZONA_INCERTEZA;lev_only;2026-08-31T23:16:46.903385+00:00
element-hq/synapse;server;python;CVE-2024-31208;55b0aa847a61774b6a3acdc4b177a20dc019f01a;synapse/storage/databases/main/events.py;108;AliAbutorabi/Synapse;2026-08-27T08:56:57Z;False;ZONA_INCERTEZA;0.6191;ZONA_INCERTEZA;0.6191;0.6018;0.0173;ZONA_INCERTEZA;lev_only;2026-08-31T23:16:48.279395+00:00
element-hq/synapse;server;python;CVE-2024-31208;55b0aa847a61774b6a3acdc4b177a20dc019f01a;tests/storage/test_event_chain.py;104;guillemo12/synapse;2026-08-30T13:36:10Z;False;CORRIGIDO;0.9833;CORRIGIDO;0.9833;0.8916;0.0917;CORRIGIDO;lev_only;2026-08-31T23:16:50.091596+00:00
element-hq/synapse;server;python;CVE-2024-31208;55b0aa847a61774b6a3acdc4b177a20dc019f01a;tests/storage/test_event_chain.py;104;Buzzlabs/synapse;2026-08-27T14:55:31Z;False;CORRIGIDO;0.9857;CORRIGIDO;0.9857;0.8941;0.0916;CORRIGIDO;lev_only;2026-08-31T23:16:50.954794+00:00
element-hq/synapse;server;python;CVE-2024-31208;55b0aa847a61774b6a3acdc4b177a20dc019f01a;tests/storage/test_event_chain.py;104;AliAbutorabi/Synapse;2026-08-27T08:56:57Z;False;CORRIGIDO;0.9833;CORRIGIDO;0.9833;0.8916;0.0917;CORRIGIDO;lev_only;2026-08-31T23:16:51.599555+00:00
matrix-org/vodozemac;support;rust;CVE-2024-40640;734b6c6948d4b2bdee3dd8b4efa591d93a61d272;src/megolm/session_keys.rs;16;CommE2E/vodozemac;2026-01-20T02:07:54Z;False;CORRIGIDO;0.9956;CORRIGIDO;0.9956;0.9797;0.016;ZONA_INCERTEZA;lev_only;2026-08-31T23:17:20.938798+00:00
matrix-org/vodozemac;support;rust;CVE-2024-40640;734b6c6948d4b2bdee3dd8b4efa591d93a61d272;src/megolm/session_keys.rs;16;xsanm/vodozemac;2025-10-31T10:51:29Z;False;CORRIGIDO;0.9956;CORRIGIDO;0.9956;0.9797;0.016;ZONA_INCERTEZA;lev_only;2026-08-31T23:17:21.666000+00:00
matrix-org/vodozemac;support;rust;CVE-2024-40640;734b6c6948d4b2bdee3dd8b4efa591d93a61d272;src/megolm/session_keys.rs;16;tangowhisky-dev/vodozemac;2025-09-03T16:59:50Z;False;CORRIGIDO;0.9956;CORRIGIDO;0.9956;0.9797;0.016;ZONA_INCERTEZA;lev_only;2026-08-31T23:17:22.272358+00:00
