upstream;categoria;linguagem;cve_id;fork;status;arquivo;eh_arquivo_de_teste;fix_sha;data_fix_upstream;data_ultimo_toque_fork;lag_dias;lag_confiavel;sim_2a;delta;metrica;fork_created_at;fork_pushed_at;ahead_by;behind_by;stars
element-hq/synapse;server;python;CVE-2025-61672;AliAbutorabi/Synapse;CORRIGIDO;tests/rest/client/test_keys.py;sim;7069636c2d6d1ef2022287addf3ed8b919ef2740;2025-10-07T10:41:00Z;2026-07-02T11:25:11Z;268.0;sim;0.6061;0.1231;lev_only;2026-07-07T20:14:35Z;2026-08-27T08:56:57Z;5;152;0
element-hq/synapse;server;python;CVE-2025-30355;guillemo12/synapse;CORRIGIDO;synapse/federation/units.py;nao;2277df2a1eb685f85040ef98fa21d41aa4cdd389;2025-03-26T18:44:45Z;2025-11-06T20:02:33Z;225.1;sim;0.9724;0.2259;lev_only;2026-08-13T10:17:02Z;2026-09-01T17:29:50Z;5;0;0
element-hq/synapse;server;python;CVE-2025-30355;Buzzlabs/synapse;CORRIGIDO;synapse/federation/units.py;nao;2277df2a1eb685f85040ef98fa21d41aa4cdd389;2025-03-26T18:44:45Z;2025-11-06T20:02:33Z;225.1;sim;0.9724;0.2259;lev_only;2025-12-05T18:44:36Z;2026-08-27T14:55:31Z;119;576;0
element-hq/synapse;server;python;CVE-2025-30355;AliAbutorabi/Synapse;CORRIGIDO;synapse/federation/units.py;nao;2277df2a1eb685f85040ef98fa21d41aa4cdd389;2025-03-26T18:44:45Z;2025-11-06T20:02:33Z;225.1;sim;0.9724;0.2259;lev_only;2026-07-07T20:14:35Z;2026-08-27T08:56:57Z;5;152;0
element-hq/synapse;server;python;CVE-2024-31208;guillemo12/synapse;ZONA_INCERTEZA;synapse/storage/databases/main/events.py;nao;55b0aa847a61774b6a3acdc4b177a20dc019f01a;2024-04-23T14:25:49Z;2026-08-25T14:37:03Z;854.0;sim;0.6036;0.0169;lev_only;2026-08-13T10:17:02Z;2026-09-01T17:29:50Z;5;0;0
element-hq/synapse;server;python;CVE-2024-31208;Buzzlabs/synapse;ZONA_INCERTEZA;synapse/storage/databases/main/events.py;nao;55b0aa847a61774b6a3acdc4b177a20dc019f01a;2024-04-23T14:25:49Z;2025-11-12T16:40:38Z;568.1;sim;0.6364;0.0178;lev_only;2025-12-05T18:44:36Z;2026-08-27T14:55:31Z;119;576;0
element-hq/synapse;server;python;CVE-2024-31208;AliAbutorabi/Synapse;ZONA_INCERTEZA;synapse/storage/databases/main/events.py;nao;55b0aa847a61774b6a3acdc4b177a20dc019f01a;2024-04-23T14:25:49Z;2026-06-02T10:05:38Z;769.8;sim;0.6191;0.0173;lev_only;2026-07-07T20:14:35Z;2026-08-27T08:56:57Z;5;152;0
element-hq/synapse;server;python;CVE-2024-31208;guillemo12/synapse;CORRIGIDO;tests/storage/test_event_chain.py;sim;55b0aa847a61774b6a3acdc4b177a20dc019f01a;2024-04-23T14:25:49Z;2026-07-02T20:20:38Z;800.2;sim;0.9833;0.0917;lev_only;2026-08-13T10:17:02Z;2026-09-01T17:29:50Z;5;0;0
element-hq/synapse;server;python;CVE-2024-31208;Buzzlabs/synapse;CORRIGIDO;tests/storage/test_event_chain.py;sim;55b0aa847a61774b6a3acdc4b177a20dc019f01a;2024-04-23T14:25:49Z;2025-10-22T21:48:19Z;547.3;sim;0.9857;0.0916;lev_only;2025-12-05T18:44:36Z;2026-08-27T14:55:31Z;119;576;0
element-hq/synapse;server;python;CVE-2024-31208;AliAbutorabi/Synapse;CORRIGIDO;tests/storage/test_event_chain.py;sim;55b0aa847a61774b6a3acdc4b177a20dc019f01a;2024-04-23T14:25:49Z;2026-07-02T20:20:38Z;800.2;sim;0.9833;0.0917;lev_only;2026-07-07T20:14:35Z;2026-08-27T08:56:57Z;5;152;0
