github_owner;github_repo;dependency;cpe_uuid;cpe_uri;creation_date;last_midication_date;deprecated;deprecated_by;part;vendor;product;version;update;edition;language;sw_edition;target_sw;target_hw;other
matrix-org;olm;1;FC3E22F9-AD57-4ED9-811C-3EBAE99D2990;cpe:2.3:a:matrix:olm:3.2.15:*:*:*:*:*:*:*;2025-07-09T12:35:33.457;2025-07-09T12:35:33.457;False;;a;matrix;olm;3.2.15;*;*;*;*;*;*;*
matrix-org;olm;1;255EE7BF-609F-498A-A4F8-733D6570ACAE;cpe:2.3:a:matrix:olm:3.2.12:*:*:*:*:*:*:*;2025-07-09T12:35:33.457;2025-07-09T12:35:33.457;False;;a;matrix;olm;3.2.12;*;*;*;*;*;*;*
matrix-org;olm;1;8013F055-5F20-4E3E-9901-29B47CA5B7E9;cpe:2.3:a:matrix:olm:3.2.11:*:*:*:*:*:*:*;2025-07-09T12:35:33.457;2025-07-09T12:35:33.457;False;;a;matrix;olm;3.2.11;*;*;*;*;*;*;*
matrix-org;olm;1;78B5F553-017F-4A59-A978-EE0EDFE350A1;cpe:2.3:a:matrix:olm:3.2.9:*:*:*:*:*:*:*;2025-07-09T12:35:33.457;2025-07-09T12:35:33.457;False;;a;matrix;olm;3.2.9;*;*;*;*;*;*;*
matrix-org;olm;1;43DBDF2F-429A-46FA-9311-3E52DD9FB4B4;cpe:2.3:a:matrix:olm:3.2.8:*:*:*:*:*:*:*;2021-12-17T17:42:47.870;2021-12-17T19:02:40.523;False;;a;matrix;olm;3.2.8;*;*;*;*;*;*;*
matrix-org;olm;1;BABBD64B-AF57-4567-9C05-7282FD7AAD17;cpe:2.3:a:matrix:olm:3.2.7:*:*:*:*:*:*:*;2021-12-17T17:42:47.870;2021-12-17T19:02:40.523;False;;a;matrix;olm;3.2.7;*;*;*;*;*;*;*
matrix-org;olm;1;4F70C3F0-9128-49A7-8FFD-F1BB33C2C7F3;cpe:2.3:a:matrix:olm:3.2.6:*:*:*:*:*:*:*;2021-12-17T17:42:47.870;2021-12-17T19:02:40.523;False;;a;matrix;olm;3.2.6;*;*;*;*;*;*;*
matrix-org;olm;1;E6634609-F4CA-4B95-8325-33BCA61D5071;cpe:2.3:a:matrix:olm:3.2.5:*:*:*:*:*:*:*;2021-12-17T17:42:47.870;2021-12-17T19:02:40.523;False;;a;matrix;olm;3.2.5;*;*;*;*;*;*;*
matrix-org;olm;1;71980FF6-40E3-425F-A152-E315F6C8396A;cpe:2.3:a:matrix:olm:3.2.4:*:*:*:*:*:*:*;2021-12-17T17:42:47.870;2021-12-17T19:02:40.523;False;;a;matrix;olm;3.2.4;*;*;*;*;*;*;*
matrix-org;olm;1;B0CB29B2-9756-4D0D-9077-E9323E985E23;cpe:2.3:a:matrix:olm:3.2.3:*:*:*:*:*:*:*;2021-12-17T17:42:47.870;2021-12-17T19:02:40.523;False;;a;matrix;olm;3.2.3;*;*;*;*;*;*;*
