github_owner;github_repo;cpe_wfn_pattern;dependency
matrix-org;matrix-ios-sdk;cpe:2.3:a:matrix:software_development_kit:0.27.12:*:*:*:*:iphone_os:*:*;1
matrix-org;matrix-ios-sdk;cpe:2.3:a:matrix:software_development_kit:0.27.11:*:*:*:*:iphone_os:*:*;1
matrix-org;matrix-ios-sdk;cpe:2.3:a:matrix:software_development_kit:0.27.10:*:*:*:*:iphone_os:*:*;1
matrix-org;matrix-ios-sdk;cpe:2.3:a:matrix:software_development_kit:0.27.9:*:*:*:*:iphone_os:*:*;1
matrix-org;matrix-ios-sdk;cpe:2.3:a:matrix:software_development_kit:0.27.8:*:*:*:*:iphone_os:*:*;1
matrix-org;matrix-ios-sdk;cpe:2.3:a:matrix:software_development_kit:0.27.7:*:*:*:*:iphone_os:*:*;1
matrix-org;matrix-ios-sdk;cpe:2.3:a:matrix:software_development_kit:0.27.6:*:*:*:*:iphone_os:*:*;1
matrix-org;matrix-ios-sdk;cpe:2.3:a:matrix:software_development_kit:0.27.5:*:*:*:*:iphone_os:*:*;1
matrix-org;matrix-ios-sdk;cpe:2.3:a:matrix:software_development_kit:0.27.4:*:*:*:*:iphone_os:*:*;1
matrix-org;matrix-ios-sdk;cpe:2.3:a:matrix:software_development_kit:0.27.3:*:*:*:*:iphone_os:*:*;1
matrix-org;matrix-ios-sdk;cpe:2.3:a:matrix:software_development_kit:0.27.2:*:*:*:*:iphone_os:*:*;1
matrix-org;matrix-ios-sdk;cpe:2.3:a:matrix:software_development_kit:0.27.1:*:*:*:*:iphone_os:*:*;1
matrix-org;matrix-ios-sdk;cpe:2.3:a:matrix:software_development_kit:0.27.0:*:*:*:*:iphone_os:*:*;1
matrix-org;matrix-rust-sdk;cpe:2.3:a:matrix:matrix-rust-sdk:0.14.0:*:*:*:*:*:*:*;1
matrix-org;matrix-rust-sdk;cpe:2.3:a:matrix:matrix-rust-sdk:0.13.0:*:*:*:*:*:*:*;1
matrix-org;matrix-rust-sdk;cpe:2.3:a:matrix:matrix-rust-sdk:0.12.0:*:*:*:*:*:*:*;1
matrix-org;matrix-rust-sdk;cpe:2.3:a:matrix:matrix-rust-sdk:0.11.1:*:*:*:*:*:*:*;1
matrix-org;matrix-rust-sdk;cpe:2.3:a:matrix:matrix-rust-sdk:0.11.0:*:*:*:*:*:*:*;1
matrix-org;matrix-rust-sdk;cpe:2.3:a:matrix:matrix-rust-sdk:0.10.0:*:*:*:*:*:*:*;1
matrix-org;matrix-rust-sdk;cpe:2.3:a:matrix:matrix-rust-sdk:0.9.0:*:*:*:*:*:*:*;1
matrix-org;matrix-rust-sdk;cpe:2.3:a:matrix:matrix-rust-sdk:0.8.0:*:*:*:*:*:*:*;1
matrix-org;matrix-rust-sdk;cpe:2.3:a:matrix:matrix-rust-sdk:0.7.2:*:*:*:*:*:*:*;1
matrix-org;matrix-rust-sdk;cpe:2.3:a:matrix:matrix-rust-sdk:0.5.0:*:*:*:*:*:*:*;1
matrix-org;matrix-rust-sdk;cpe:2.3:a:matrix:matrix-rust-sdk:0.4.3:*:*:*:*:*:*:*;1
matrix-org;matrix-rust-sdk;cpe:2.3:a:matrix:matrix-rust-sdk:0.4.2:*:*:*:*:*:*:*;1
matrix-org;matrix-rust-sdk;cpe:2.3:a:matrix:matrix-rust-sdk:0.4.1:*:*:*:*:*:*:*;1
matrix-org;olm;cpe:2.3:a:matrix:olm:3.2.16:*:*:*:*:*:*:*;1
matrix-org;olm;cpe:2.3:a:matrix:olm:3.2.15:*:*:*:*:*:*:*;1
matrix-org;olm;cpe:2.3:a:matrix:olm:3.2.14:*:*:*:*:*:*:*;1
matrix-org;olm;cpe:2.3:a:matrix:olm:3.2.13:*:*:*:*:*:*:*;1
matrix-org;olm;cpe:2.3:a:matrix:olm:3.2.12:*:*:*:*:*:*:*;1
matrix-org;olm;cpe:2.3:a:matrix:olm:3.2.11:*:*:*:*:*:*:*;1
matrix-org;olm;cpe:2.3:a:matrix:olm:3.2.10:*:*:*:*:*:*:*;1
matrix-org;olm;cpe:2.3:a:matrix:olm:3.2.9:*:*:*:*:*:*:*;1
matrix-org;olm;cpe:2.3:a:matrix:olm:3.2.8:*:*:*:*:*:*:*;1
matrix-org;olm;cpe:2.3:a:matrix:olm:3.2.7:*:*:*:*:*:*:*;1
matrix-org;olm;cpe:2.3:a:matrix:olm:3.2.6:*:*:*:*:*:*:*;1
matrix-org;olm;cpe:2.3:a:matrix:olm:3.2.5:*:*:*:*:*:*:*;1
matrix-org;olm;cpe:2.3:a:matrix:olm:3.2.4:*:*:*:*:*:*:*;1
matrix-org;olm;cpe:2.3:a:matrix:olm:3.2.3:*:*:*:*:*:*:*;1
matrix-org;olm;cpe:2.3:a:matrix:olm:3.2.2:*:*:*:*:*:*:*;1
matrix-org;olm;cpe:2.3:a:matrix:olm:3.2.1:*:*:*:*:*:*:*;1
matrix-org;olm;cpe:2.3:a:matrix:olm:3.2.0:*:*:*:*:*:*:*;1
matrix-org;olm;cpe:2.3:a:matrix:olm:3.1.5:*:*:*:*:*:*:*;1
matrix-org;olm;cpe:2.3:a:matrix:olm:3.1.4:*:*:*:*:*:*:*;1
matrix-org;olm;cpe:2.3:a:matrix:olm:3.1.3:*:*:*:*:*:*:*;1
matrix-org;olm;cpe:2.3:a:matrix:olm:3.1.2:*:*:*:*:*:*:*;1
matrix-org;olm;cpe:2.3:a:matrix:olm:3.1.1:*:*:*:*:*:*:*;1
matrix-org;olm;cpe:2.3:a:matrix:olm:3.1.0:*:*:*:*:*:*:*;1
matrix-org;olm;cpe:2.3:a:matrix:olm:3.0.0:*:*:*:*:*:*:*;1
matrix-org;vodozemac;cpe:2.3:a:matrix:vodozemac:0.9.0:*:*:*:*:*:*:*;1
matrix-org;vodozemac;cpe:2.3:a:matrix:vodozemac:0.8.1:*:*:*:*:*:*:*;1
matrix-org;vodozemac;cpe:2.3:a:matrix:vodozemac:0.8.0:*:*:*:*:*:*:*;1
matrix-org;vodozemac;cpe:2.3:a:matrix:vodozemac:0.7.0:*:*:*:*:*:*:*;1
matrix-org;vodozemac;cpe:2.3:a:matrix:vodozemac:0.6.0:*:*:*:*:*:*:*;1
element-hq;element-web;cpe:2.3:a:element:element-web:*:*:*:*:*:*:*:*;1
matrix-org;matrix-hookshot;cpe:2.3:a:matrix:hookshot:*:*:*:*:*:*:*:*;1
mautrix;go;cpe:2.3:a:mautrix:go:*:*:*:*:*:*:*:*;1
