upstream;category;cve;fork;fix_sha;filepath;tipo;auto_status;sim_ast;gt_label;gt_confidence;is_removal_patch;lines_checked;lines_present;lines_absent;evidence_file
element-hq/synapse;server;CVE-2024-31208;kakahu2015/synapse;55b0aa847a61774b6a3acdc4b177a20dc019f01a;synapse/storage/databases/main/events.py;ZONA_INCERTEZA;ZONA_INCERTEZA;0.6191;CONFIRMED_PATCHED;0.9333;False;15;14;1;evidencias_gt_dissertacao/CVE-2024-31208/kakahu2015_synapse_55b0aa84_synapse_storage_databases_main_events.py
element-hq/synapse;server;CVE-2024-31208;shcherbak/synapse;55b0aa847a61774b6a3acdc4b177a20dc019f01a;synapse/storage/databases/main/events.py;ZONA_INCERTEZA;ZONA_INCERTEZA;0.6191;CONFIRMED_PATCHED;0.9333;False;15;14;1;evidencias_gt_dissertacao/CVE-2024-31208/shcherbak_synapse_55b0aa84_synapse_storage_databases_main_events.py
matrix-org/matrix-rust-sdk;sdk;CVE-2025-66622;SchildiChat/matrix-rust-sdk;4ea0418abefab2aa93f8851a4d39c723e703e6b0;crates/matrix-sdk-base/src/room/room_info.rs;ZONA_INCERTEZA;ZONA_INCERTEZA;0.5727;AMBIGUOUS;0.6667;False;15;10;5;evidencias_gt_dissertacao/CVE-2025-66622/SchildiChat_matrix-rust-sdk_4ea0418a_crates_matrix-sdk-base_src_room_room_info.rs
matrix-org/matrix-rust-sdk;sdk;CVE-2025-66622;verji/matrix-rust-sdk;4ea0418abefab2aa93f8851a4d39c723e703e6b0;crates/matrix-sdk-base/src/room/room_info.rs;ZONA_INCERTEZA;ZONA_INCERTEZA;0.5866;AMBIGUOUS;0.6667;False;15;10;5;evidencias_gt_dissertacao/CVE-2025-66622/verji_matrix-rust-sdk_4ea0418a_crates_matrix-sdk-base_src_room_room_info.rs
matrix-org/matrix-rust-sdk;sdk;CVE-2025-66622;matrix-construct/matrix-rust-sdk;4ea0418abefab2aa93f8851a4d39c723e703e6b0;crates/matrix-sdk-base/src/room/room_info.rs;ZONA_INCERTEZA;ZONA_INCERTEZA;0.5866;AMBIGUOUS;0.6667;False;15;10;5;evidencias_gt_dissertacao/CVE-2025-66622/matrix-construct_matrix-rust-sdk_4ea0418a_crates_matrix-sdk-base_src_room_room_info.rs
matrix-org/matrix-rust-sdk;sdk;CVE-2022-39252;SchildiChat/matrix-rust-sdk;093fb5d0aa21c0b5eaea6ec96b477f1075271cbb;crates/matrix-sdk-crypto/src/gossiping/machine.rs;ZONA_INCERTEZA;ZONA_INCERTEZA;0.5386;CONFIRMED_PATCHED;0.9333;False;15;14;1;evidencias_gt_dissertacao/CVE-2022-39252/SchildiChat_matrix-rust-sdk_093fb5d0_crates_matrix-sdk-crypto_src_gossiping_machine.rs
matrix-org/matrix-rust-sdk;sdk;CVE-2022-39252;verji/matrix-rust-sdk;093fb5d0aa21c0b5eaea6ec96b477f1075271cbb;crates/matrix-sdk-crypto/src/gossiping/machine.rs;ZONA_INCERTEZA;ZONA_INCERTEZA;0.5386;CONFIRMED_PATCHED;0.9333;False;15;14;1;evidencias_gt_dissertacao/CVE-2022-39252/verji_matrix-rust-sdk_093fb5d0_crates_matrix-sdk-crypto_src_gossiping_machine.rs
matrix-org/matrix-rust-sdk;sdk;CVE-2022-39252;matrix-construct/matrix-rust-sdk;093fb5d0aa21c0b5eaea6ec96b477f1075271cbb;crates/matrix-sdk-crypto/src/gossiping/machine.rs;ZONA_INCERTEZA;ZONA_INCERTEZA;0.5386;CONFIRMED_PATCHED;0.9333;False;15;14;1;evidencias_gt_dissertacao/CVE-2022-39252/matrix-construct_matrix-rust-sdk_093fb5d0_crates_matrix-sdk-crypto_src_gossiping_machine.rs
matrix-org/matrix-rust-sdk;sdk;CVE-2022-39252;SchildiChat/matrix-rust-sdk;41449d2cc360e347f5d4e1c154ec1e3185f11acd;crates/matrix-sdk-crypto/src/gossiping/machine.rs;ZONA_INCERTEZA;ZONA_INCERTEZA;0.556;CONFIRMED_PATCHED;0.8;False;15;12;3;evidencias_gt_dissertacao/CVE-2022-39252/SchildiChat_matrix-rust-sdk_41449d2c_crates_matrix-sdk-crypto_src_gossiping_machine.rs
matrix-org/matrix-rust-sdk;sdk;CVE-2022-39252;verji/matrix-rust-sdk;41449d2cc360e347f5d4e1c154ec1e3185f11acd;crates/matrix-sdk-crypto/src/gossiping/machine.rs;ZONA_INCERTEZA;ZONA_INCERTEZA;0.556;CONFIRMED_PATCHED;0.8;False;15;12;3;evidencias_gt_dissertacao/CVE-2022-39252/verji_matrix-rust-sdk_41449d2c_crates_matrix-sdk-crypto_src_gossiping_machine.rs
