categoria;cve;fork;arquivo;gt_label;gt_conf;auto_agregado;classificacao;commit_fix_upstream;arquivo_no_fork;veredito_humano;observacao
bridge;CVE-2023-38700;oI0ck/matrix-appservice-irc;src/bridge/MatrixHandler.ts;CONFIRMED_PATCHED;1.0;CORRIGIDO;TP (concordam: corrigido);https://github.com/matrix-org/matrix-appservice-irc/commit/8bbd2b69a16cbcbeffdd9b5c973fd89d61498d75;https://github.com/oI0ck/matrix-appservice-irc/blob/HEAD/src/bridge/MatrixHandler.ts;;
bridge;CVE-2024-39691;jamesjen/matrix-appservice-irc;src/bridge/MatrixHandler.ts;CONFIRMED_PATCHED;1.0;CORRIGIDO;TP (concordam: corrigido);https://github.com/matrix-org/matrix-appservice-irc/commit/1835e047f269001054be4c68867797aa12372a0f;https://github.com/jamesjen/matrix-appservice-irc/blob/HEAD/src/bridge/MatrixHandler.ts;;
bridge;CVE-2024-39691;oI0ck/matrix-appservice-irc;src/bridge/MatrixHandler.ts;CONFIRMED_PATCHED;1.0;CORRIGIDO;TP (concordam: corrigido);https://github.com/matrix-org/matrix-appservice-irc/commit/1835e047f269001054be4c68867797aa12372a0f;https://github.com/oI0ck/matrix-appservice-irc/blob/HEAD/src/bridge/MatrixHandler.ts;;
bridge;CVE-2024-52505;jamesjen/matrix-appservice-irc;src/provisioning/Schema.ts;CONFIRMED_PATCHED;1.0;CORRIGIDO;TP (concordam: corrigido);https://github.com/matrix-org/matrix-appservice-irc/commit/4a024eae1a992b1ea67e71a998e0b833b54221e2;https://github.com/jamesjen/matrix-appservice-irc/blob/HEAD/src/provisioning/Schema.ts;;
bridge;CVE-2024-52505;oI0ck/matrix-appservice-irc;src/provisioning/Schema.ts;CONFIRMED_PATCHED;1.0;CORRIGIDO;TP (concordam: corrigido);https://github.com/matrix-org/matrix-appservice-irc/commit/4a024eae1a992b1ea67e71a998e0b833b54221e2;https://github.com/oI0ck/matrix-appservice-irc/blob/HEAD/src/provisioning/Schema.ts;;
bridge;CVE-2025-27146;jamesjen/matrix-appservice-irc;src/irc/BridgedClient.ts;CONFIRMED_PATCHED;1.0;CORRIGIDO;TP (concordam: corrigido);https://github.com/matrix-org/matrix-appservice-irc/commit/74f02c8e11f16ed1b355700092c1aa9c036a11bd;https://github.com/jamesjen/matrix-appservice-irc/blob/HEAD/src/irc/BridgedClient.ts;;
bridge;CVE-2025-27146;oI0ck/matrix-appservice-irc;src/irc/BridgedClient.ts;CONFIRMED_PATCHED;1.0;CORRIGIDO;TP (concordam: corrigido);https://github.com/matrix-org/matrix-appservice-irc/commit/74f02c8e11f16ed1b355700092c1aa9c036a11bd;https://github.com/oI0ck/matrix-appservice-irc/blob/HEAD/src/irc/BridgedClient.ts;;
client;CVE-2024-26131;H1d3r/element-android;vector/src/main/java/im/vector/app/features/MainActivity.kt;CONFIRMED_PATCHED;1.0;CORRIGIDO;TP (concordam: corrigido);https://github.com/element-hq/element-android/commit/53734255ec270b0814946350787393dfcaa2a5a9;https://github.com/H1d3r/element-android/blob/HEAD/vector/src/main/java/im/vector/app/features/MainActivity.kt;;
client;CVE-2024-26131;SchildiChat/SchildiChat-android;vector/src/main/java/im/vector/app/features/MainActivity.kt;CONFIRMED_PATCHED;1.0;CORRIGIDO;TP (concordam: corrigido);https://github.com/element-hq/element-android/commit/53734255ec270b0814946350787393dfcaa2a5a9;https://github.com/SchildiChat/SchildiChat-android/blob/HEAD/vector/src/main/java/im/vector/app/features/MainActivity.kt;;
client;CVE-2024-26131;bincnc/element-android;vector/src/main/java/im/vector/app/features/MainActivity.kt;CONFIRMED_PATCHED;1.0;CORRIGIDO;TP (concordam: corrigido);https://github.com/element-hq/element-android/commit/53734255ec270b0814946350787393dfcaa2a5a9;https://github.com/bincnc/element-android/blob/HEAD/vector/src/main/java/im/vector/app/features/MainActivity.kt;;
client;CVE-2024-26132;H1d3r/element-android;library/multipicker/src/main/java/im/vector/lib/multipicker/utils/MediaFileUtils.kt;CONFIRMED_PATCHED;1.0;CORRIGIDO;TP (concordam: corrigido);https://github.com/element-hq/element-android/commit/8f9695a9a8d944cb9b92568cbd76578c51d32e07;https://github.com/H1d3r/element-android/blob/HEAD/library/multipicker/src/main/java/im/vector/lib/multipicker/utils/MediaFileUtils.kt;;
client;CVE-2024-26132;SchildiChat/SchildiChat-android;library/multipicker/src/main/java/im/vector/lib/multipicker/utils/MediaFileUtils.kt;CONFIRMED_PATCHED;1.0;CORRIGIDO;TP (concordam: corrigido);https://github.com/element-hq/element-android/commit/8f9695a9a8d944cb9b92568cbd76578c51d32e07;https://github.com/SchildiChat/SchildiChat-android/blob/HEAD/library/multipicker/src/main/java/im/vector/lib/multipicker/utils/MediaFileUtils.kt;;
client;CVE-2024-26132;bincnc/element-android;library/multipicker/src/main/java/im/vector/lib/multipicker/utils/MediaFileUtils.kt;CONFIRMED_PATCHED;1.0;CORRIGIDO;TP (concordam: corrigido);https://github.com/element-hq/element-android/commit/8f9695a9a8d944cb9b92568cbd76578c51d32e07;https://github.com/bincnc/element-android/blob/HEAD/library/multipicker/src/main/java/im/vector/lib/multipicker/utils/MediaFileUtils.kt;;
client;CVE-2025-27606;H1d3r/element-android;vector/src/main/java/im/vector/app/features/pin/PinFragment.kt;CONFIRMED_PATCHED;1.0;CORRIGIDO;TP (concordam: corrigido);https://github.com/element-hq/element-android/commit/87d7fcdc8036a4db4da8c403f87c73a64a546304;https://github.com/H1d3r/element-android/blob/HEAD/vector/src/main/java/im/vector/app/features/pin/PinFragment.kt;;
client;CVE-2025-27606;SchildiChat/SchildiChat-android;vector/src/main/java/im/vector/app/features/pin/PinFragment.kt;CONFIRMED_PATCHED;1.0;CORRIGIDO;TP (concordam: corrigido);https://github.com/element-hq/element-android/commit/87d7fcdc8036a4db4da8c403f87c73a64a546304;https://github.com/SchildiChat/SchildiChat-android/blob/HEAD/vector/src/main/java/im/vector/app/features/pin/PinFragment.kt;;
client;CVE-2025-27606;bincnc/element-android;vector/src/main/java/im/vector/app/features/pin/PinFragment.kt;CONFIRMED_PATCHED;1.0;CORRIGIDO;TP (concordam: corrigido);https://github.com/element-hq/element-android/commit/87d7fcdc8036a4db4da8c403f87c73a64a546304;https://github.com/bincnc/element-android/blob/HEAD/vector/src/main/java/im/vector/app/features/pin/PinFragment.kt;;
integration;CVE-2025-23197;Rath-debug/matrix-hookshot;src/github/GithubInstance.ts;CONFIRMED_PATCHED;1.0;CORRIGIDO;TP (concordam: corrigido);https://github.com/matrix-org/matrix-hookshot/commit/e51d8210233ac759e7f7dfebc2c4f1bf6ce94802;https://github.com/Rath-debug/matrix-hookshot/blob/HEAD/src/github/GithubInstance.ts;;
