upstream;category;language;cve_id;fix_sha;filepath;churn;fork;fork_pushed;sha_match;status;sim_2a;label_2a;sim_patch;sim_vuln;delta;label_2b;method;ts
element-hq/synapse;server;python;CVE-2024-31208;55b0aa847a61774b6a3acdc4b177a20dc019f01a;synapse/storage/databases/main/events.py;108;shcherbak/synapse;2026-06-26T21:06:43Z;False;ZONA_INCERTEZA;0.6191;ZONA_INCERTEZA;0.6191;0.6018;0.0173;ZONA_INCERTEZA;lev_only;2026-07-04T16:46:41.918545+00:00
matrix-org/matrix-rust-sdk;sdk;rust;CVE-2025-66622;4ea0418abefab2aa93f8851a4d39c723e703e6b0;crates/matrix-sdk-base/src/room/room_info.rs;24;SchildiChat/matrix-rust-sdk;2026-07-03T08:49:00Z;False;ZONA_INCERTEZA;0.5727;ZONA_INCERTEZA;0.5727;0.5726;0.0001;ZONA_INCERTEZA;lev_only;2026-07-04T16:50:15.971645+00:00
matrix-org/matrix-rust-sdk;sdk;rust;CVE-2025-66622;4ea0418abefab2aa93f8851a4d39c723e703e6b0;crates/matrix-sdk-base/src/room/room_info.rs;24;verji/matrix-rust-sdk;2026-07-02T07:12:40Z;False;ZONA_INCERTEZA;0.5866;ZONA_INCERTEZA;0.5866;0.5876;-0.0009;ZONA_INCERTEZA;lev_only;2026-07-04T16:52:15.008783+00:00
matrix-org/matrix-rust-sdk;sdk;rust;CVE-2025-66622;4ea0418abefab2aa93f8851a4d39c723e703e6b0;crates/matrix-sdk-base/src/room/room_info.rs;24;matrix-construct/matrix-rust-sdk;2026-06-30T07:08:44Z;False;ZONA_INCERTEZA;0.5866;ZONA_INCERTEZA;0.5866;0.5876;-0.0009;ZONA_INCERTEZA;lev_only;2026-07-04T16:54:11.279624+00:00
matrix-org/matrix-rust-sdk;sdk;rust;CVE-2022-39252;093fb5d0aa21c0b5eaea6ec96b477f1075271cbb;crates/matrix-sdk-crypto/src/gossiping/machine.rs;33;SchildiChat/matrix-rust-sdk;2026-07-03T08:49:00Z;False;ZONA_INCERTEZA;0.5386;ZONA_INCERTEZA;0.5386;0.541;-0.0024;ZONA_INCERTEZA;lev_only;2026-07-04T17:09:25.499202+00:00
matrix-org/matrix-rust-sdk;sdk;rust;CVE-2022-39252;093fb5d0aa21c0b5eaea6ec96b477f1075271cbb;crates/matrix-sdk-crypto/src/gossiping/machine.rs;33;verji/matrix-rust-sdk;2026-07-02T07:12:40Z;False;ZONA_INCERTEZA;0.5386;ZONA_INCERTEZA;0.5386;0.541;-0.0024;ZONA_INCERTEZA;lev_only;2026-07-04T17:12:15.195029+00:00
matrix-org/matrix-rust-sdk;sdk;rust;CVE-2022-39252;093fb5d0aa21c0b5eaea6ec96b477f1075271cbb;crates/matrix-sdk-crypto/src/gossiping/machine.rs;33;matrix-construct/matrix-rust-sdk;2026-06-30T07:08:44Z;False;ZONA_INCERTEZA;0.5386;ZONA_INCERTEZA;0.5386;0.541;-0.0024;ZONA_INCERTEZA;lev_only;2026-07-04T17:15:06.048855+00:00
matrix-org/matrix-rust-sdk;sdk;rust;CVE-2022-39252;41449d2cc360e347f5d4e1c154ec1e3185f11acd;crates/matrix-sdk-crypto/src/gossiping/machine.rs;64;SchildiChat/matrix-rust-sdk;2026-07-03T08:49:00Z;False;ZONA_INCERTEZA;0.556;ZONA_INCERTEZA;0.556;0.5386;0.0174;ZONA_INCERTEZA;lev_only;2026-07-04T17:18:03.518729+00:00
matrix-org/matrix-rust-sdk;sdk;rust;CVE-2022-39252;41449d2cc360e347f5d4e1c154ec1e3185f11acd;crates/matrix-sdk-crypto/src/gossiping/machine.rs;64;verji/matrix-rust-sdk;2026-07-02T07:12:40Z;False;ZONA_INCERTEZA;0.556;ZONA_INCERTEZA;0.556;0.5386;0.0174;ZONA_INCERTEZA;lev_only;2026-07-04T17:20:55.401815+00:00
matrix-org/matrix-rust-sdk;sdk;rust;CVE-2022-39252;41449d2cc360e347f5d4e1c154ec1e3185f11acd;crates/matrix-sdk-crypto/src/gossiping/machine.rs;64;matrix-construct/matrix-rust-sdk;2026-06-30T07:08:44Z;False;ZONA_INCERTEZA;0.556;ZONA_INCERTEZA;0.556;0.5386;0.0174;ZONA_INCERTEZA;lev_only;2026-07-04T17:23:49.893601+00:00
matrix-org/matrix-rust-sdk;sdk;rust;CVE-2025-48937;13c1d2048286bbabf5e7bc6b015aafee98f04d55;crates/matrix-sdk-crypto/src/machine/mod.rs;26;SchildiChat/matrix-rust-sdk;2026-07-03T08:49:00Z;False;ZONA_INCERTEZA;0.8;ZONA_INCERTEZA;0.8;0.798;0.002;ZONA_INCERTEZA;lev_only;2026-07-04T17:27:04.900775+00:00
matrix-org/matrix-rust-sdk;sdk;rust;CVE-2025-48937;13c1d2048286bbabf5e7bc6b015aafee98f04d55;crates/matrix-sdk-crypto/src/machine/mod.rs;26;verji/matrix-rust-sdk;2026-07-02T07:12:40Z;False;ZONA_INCERTEZA;0.8;ZONA_INCERTEZA;0.8;0.798;0.002;ZONA_INCERTEZA;lev_only;2026-07-04T17:31:47.029455+00:00
matrix-org/matrix-rust-sdk;sdk;rust;CVE-2025-48937;13c1d2048286bbabf5e7bc6b015aafee98f04d55;crates/matrix-sdk-crypto/src/machine/mod.rs;26;matrix-construct/matrix-rust-sdk;2026-06-30T07:08:44Z;False;CORRIGIDO;0.8181;CORRIGIDO;0.8181;0.8161;0.002;ZONA_INCERTEZA;lev_only;2026-07-04T17:38:03.315890+00:00
matrix-org/matrix-rust-sdk;sdk;rust;CVE-2024-34353;71136e44c03c79f80d6d1a2446673bc4d53a2067;crates/matrix-sdk/src/encryption/mod.rs;27;SchildiChat/matrix-rust-sdk;2026-07-03T08:49:00Z;False;ZONA_INCERTEZA;0.5102;ZONA_INCERTEZA;0.5102;0.4965;0.0138;ZONA_INCERTEZA;lev_only;2026-07-04T17:43:44.100178+00:00
matrix-org/matrix-rust-sdk;sdk;rust;CVE-2024-34353;71136e44c03c79f80d6d1a2446673bc4d53a2067;crates/matrix-sdk/src/encryption/mod.rs;27;verji/matrix-rust-sdk;2026-07-02T07:12:40Z;False;ZONA_INCERTEZA;0.5102;ZONA_INCERTEZA;0.5102;0.4965;0.0138;ZONA_INCERTEZA;lev_only;2026-07-04T17:47:38.893248+00:00
matrix-org/matrix-rust-sdk;sdk;rust;CVE-2024-34353;71136e44c03c79f80d6d1a2446673bc4d53a2067;crates/matrix-sdk/src/encryption/mod.rs;27;matrix-construct/matrix-rust-sdk;2026-06-30T07:08:44Z;False;ZONA_INCERTEZA;0.5103;ZONA_INCERTEZA;0.5103;0.4965;0.0138;ZONA_INCERTEZA;lev_only;2026-07-04T17:51:26.029903+00:00
